"model","split","task_id","success","model_calls","total_tokens","trace_path","step_id","exit_code","structured_expectation_score","observation_only_raw_score","expectation_quality","action_safety_gate","expectation_safety_gate","shadow_decision","stderr_presence_mismatch","textual_error_contradiction","textual_output_missing","semantic_residual_score","expectation_gate_only_score","raw_full_residual_score","semantic_with_safety_score","structured_with_safety_score","no_expectation_score","full_residual_score","exit_code_mismatch","stdout_presence_mismatch"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-029","True","5","7387","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","1","0.7083333333333335","0.75","1.0","0.0","1.0","reason","1","0","0","0.8423761576414108","1.0","0.7083333333333335","1.0","1.0","0.75","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-029","True","5","7387","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.16666666666666669","0.0","1.0","0.0","1.0","reason","0","0","0","0.8882044032216072","1.0","0.16666666666666669","1.0","1.0","0.0","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-029","True","5","7387","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.8871739059686661","0.0","0.0","0.8871739059686661","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-034","False","8","15260","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.8888888888888888","0.0","1.0","reason","0","0","0","0.831201821565628","1.0","0.0","1.0","1.0","0.0","1.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-034","False","8","15260","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.5876560807228088","0.0","0.0","0.5876560807228088","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-034","False","8","15260","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.33333333333333337","0.0","0.9444444444444445","1.0","1.0","reason","0","0","1","0.961544394493103","1.0","0.33333333333333337","1.0","1.0","1.0","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-034","False","8","15260","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","2","0.5714285714285715","1.0","0.6","0.0","1.0","reason","","0","1","0.7050681114196777","1.0","0.5714285714285715","1.0","1.0","1.0","1.0","",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-034","False","8","15260","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","137","0.5714285714285715","0.55","0.5222222222222223","0.0","1.0","reason","","0","1","0.6521579325199127","1.0","0.5714285714285715","1.0","1.0","0.55","1.0","",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-034","False","8","15260","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","6","0","0.0","0.0","0.8555555555555555","0.0","0.0","fast_candidate","0","0","0","0.927022784948349","0.0","0.0","0.927022784948349","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-034","False","8","15260","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","7","0","0.33333333333333337","0.0","0.9444444444444445","1.0","1.0","reason","0","0","1","0.961544394493103","1.0","0.33333333333333337","1.0","1.0","1.0","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-038","False","8","17655","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.8888888888888888","0.0","0.0","fast_candidate","0","0","0","1.0401531755924225","0.0","0.0","1.0401531755924225","0.0","0.0","0.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-038","False","8","17655","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","2","0.8750000000000001","1.0","1.0","0.0","1.0","reason","1","0","1","0.9992215894162655","1.0","0.8750000000000001","1.0","1.0","1.0","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-038","False","8","17655","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","1.0365295186638832","0.0","0.0","1.0365295186638832","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-038","False","8","17655","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","2","0.8750000000000001","1.0","1.0","0.0","1.0","reason","1","0","1","0.999221564270556","1.0","0.8750000000000001","1.0","1.0","1.0","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-038","False","8","17655","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","1.0710427910089493","0.0","0.0","1.0710427910089493","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-038","False","8","17655","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","6","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","1.0627575069665909","0.0","0.0","1.0627575069665909","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-038","False","8","17655","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","7","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","1.0710427910089493","0.0","0.0","1.0710427910089493","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-040","False","3","3103","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.7777777777777777","0.0","1.0","reason","0","0","0","0.6264809966087341","1.0","0.0","1.0","1.0","0.0","1.0","",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-040","False","3","3103","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","0.7833333333333333","1.0","1.0","reason","0","0","0","0.82643261551857","1.0","0.0","1.0","1.0","1.0","1.0","0",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.9398492500185966","0.0","0.0","0.9398492500185966","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.33333333333333337","0.0","1.0","0.0","1.0","reason","0","0","1","0.8577377200126648","1.0","0.33333333333333337","1.0","1.0","0.0","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","1","0.7083333333333335","0.55","1.0","0.0","0.0","reason","0","0","1","0.8755891397595406","0.0","0.7083333333333335","0.8755891397595406","0.7083333333333335","0.55","0.7083333333333335","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","1","0.33333333333333337","0.55","1.0","0.0","1.0","reason","1","0","0","0.8884617835283279","1.0","0.33333333333333337","1.0","1.0","0.55","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","2","0.16666666666666669","1.0","1.0","0.0","1.0","reason","0","0","0","0.7297010719776154","1.0","0.16666666666666669","1.0","1.0","1.0","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","6","0","0.5416666666666667","0.0","1.0","0.0","1.0","reason","1","0","0","0.8538811653852463","1.0","0.5416666666666667","1.0","1.0","0.0","1.0","1","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","7","0","0.33333333333333337","0.0","1.0","0.0","0.0","fast_candidate","0","0","1","0.8577377200126648","0.0","0.33333333333333337","0.8577377200126648","0.33333333333333337","0.0","0.33333333333333337","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","8","1","0.7083333333333335","0.55","1.0","0.0","0.0","reason","0","0","1","0.8755891397595406","0.0","0.7083333333333335","0.8755891397595406","0.7083333333333335","0.55","0.7083333333333335","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","9","1","0.33333333333333337","0.55","1.0","0.0","1.0","reason","1","0","0","0.8884617835283279","1.0","0.33333333333333337","1.0","1.0","0.55","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-045","False","11","28851","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","10","0","0.5416666666666667","0.0","1.0","0.0","1.0","reason","1","0","0","0.8538811653852463","1.0","0.5416666666666667","1.0","1.0","0.0","1.0","1","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-052","False","3","3586","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","1","0.8750000000000001","0.75","1.0","0.0","1.0","reason","1","0","1","0.8442138731479645","1.0","0.8750000000000001","1.0","1.0","0.75","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-052","False","3","3586","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","1.0","0.0","1.0","reason","0","0","0","0.6516702175140381","1.0","0.0","1.0","1.0","0.0","1.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.7611111111111111","0.0","0.0","fast_candidate","0","0","0","0.9352498054504395","0.0","0.0","0.9352498054504395","0.0","0.0","0.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","0.9055555555555556","0.0","1.0","reason","0","0","0","0.8114530593156815","1.0","0.0","1.0","1.0","0.0","1.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.33333333333333337","0.0","0.9","0.0","1.0","reason","0","0","1","0.9445046856999397","1.0","0.33333333333333337","1.0","1.0","0.0","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","2","0.8750000000000001","1.0","0.9944444444444445","0.0","1.0","reason","1","0","1","0.6860774755477905","1.0","0.8750000000000001","1.0","1.0","1.0","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","2","0.8750000000000001","1.0","0.9944444444444445","0.0","1.0","reason","1","0","1","0.6860774755477905","1.0","0.8750000000000001","1.0","1.0","1.0","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","6","2","0.8750000000000001","1.0","0.9944444444444445","0.0","1.0","reason","1","0","1","0.7225180566310883","1.0","0.8750000000000001","1.0","1.0","1.0","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","7","127","0.8750000000000001","1.0","0.9","0.0","1.0","reason","1","0","1","0.8214703947305679","1.0","0.8750000000000001","1.0","1.0","1.0","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","8","127","0.8750000000000001","1.0","0.9","0.0","1.0","reason","1","0","1","0.8214703947305679","1.0","0.8750000000000001","1.0","1.0","1.0","1.0","1","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","9","123","0.5416666666666667","1.0","0.8722222222222222","0.0","0.0","reason","1","0","0","0.7563837468624115","0.0","0.5416666666666667","0.7563837468624115","0.5416666666666667","1.0","0.5416666666666667","1","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","10","1","0.5416666666666667","0.75","0.8722222222222222","0.0","1.0","reason","1","0","0","0.8856194913387299","1.0","0.5416666666666667","1.0","1.0","0.75","1.0","1","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-005","False","12","33833","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","11","0","0.0","0.0","0.8722222222222222","0.0","0.0","fast_candidate","0","0","0","0.9352498054504395","0.0","0.0","0.9352498054504395","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-007","False","6","9717","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.8388888888888889","0.0","1.0","reason","0","0","0","0.9091764837503433","1.0","0.0","1.0","1.0","0.0","1.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-007","False","6","9717","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","0.9944444444444445","0.0","0.0","fast_candidate","0","0","0","0.8512452840805054","0.0","0.0","0.8512452840805054","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-007","False","6","9717","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.0","0.0","1.0","0.0","1.0","reason","0","0","0","0.4349818229675293","1.0","0.0","1.0","1.0","0.0","1.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-007","False","6","9717","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","123","0.0","0.55","0.8888888888888888","0.0","1.0","reason","0","0","0","0.9343792647123337","1.0","0.0","1.0","1.0","0.55","1.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-007","False","6","9717","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","1","0.5416666666666667","1.0","0.9777777777777779","0.0","0.0","reason","1","0","0","0.215068519115448","0.0","0.5416666666666667","0.215068519115448","0.5416666666666667","1.0","0.5416666666666667","1","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-016","False","3","3135","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.8277777777777778","0.0","0.0","fast_candidate","0","0","0","0.8962522745132446","0.0","0.0","0.8962522745132446","0.0","0.0","0.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-016","False","3","3135","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","1.0","0.0","1.0","reason","0","0","0","0.8279647082090378","1.0","0.0","1.0","1.0","0.0","1.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-022","False","3","3453","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.9055555555555556","0.0","0.0","fast_candidate","0","0","0","0.8892663270235062","0.0","0.0","0.8892663270235062","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-022","False","3","3453","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.7603291571140289","0.0","0.0","0.7603291571140289","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-026","False","6","10801","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.8888888888888888","0.0","0.0","fast_candidate","0","0","0","0.9224608093500137","0.0","0.0","0.9224608093500137","0.0","0.0","0.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-026","False","6","10801","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.16666666666666669","0.0","1.0","0.0","1.0","reason","0","0","1","0.8573058843612671","1.0","0.16666666666666669","1.0","1.0","0.0","1.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-026","False","6","10801","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.449851930141449","0.0","0.0","0.449851930141449","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-026","False","6","10801","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.9069426134228706","0.0","0.0","0.9069426134228706","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-026","False","6","10801","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","1","0.5416666666666667","0.55","1.0","0.0","0.0","reason","0","0","1","0.7390831708908081","0.0","0.5416666666666667","0.7390831708908081","0.5416666666666667","0.55","0.5416666666666667","1","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-027","False","3","3011","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.861111111111111","0.0","0.0","fast_candidate","0","0","0","0.8774884268641472","0.0","0.0","0.8774884268641472","0.0","0.0","0.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-027","False","3","3011","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.7894838750362396","0.0","0.0","0.7894838750362396","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-032","True","6","8977","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.8555555555555555","0.0","0.0","fast_candidate","0","0","0","0.9485298693180084","0.0","0.0","0.9485298693180084","0.0","0.0","0.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-032","True","6","8977","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.9272306859493256","0.0","0.0","0.9272306859493256","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-032","True","6","8977","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.0","0.0","0.9222222222222222","0.0","0.0","fast_candidate","0","0","0","0.825798749923706","0.0","0.0","0.825798749923706","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-032","True","6","8977","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","0","0.33333333333333337","0.0","1.0","0.0","1.0","reason","0","0","1","1.0087809097021818","1.0","0.33333333333333337","1.0087809097021818","1.0","0.0","1.0","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-032","True","6","8977","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.9730204697698355","0.0","0.0","0.9730204697698355","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-044","False","4","4877","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","2","0.5416666666666667","1.0","0.8111111111111112","0.0","0.0","reason","1","0","0","0.6103981733322144","0.0","0.5416666666666667","0.6103981733322144","0.5416666666666667","1.0","0.5416666666666667","1","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-044","False","4","4877","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","0.8277777777777778","0.0","0.0","fast_candidate","0","0","0","0.9212786853313446","0.0","0.0","0.9212786853313446","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-044","False","4","4877","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.16666666666666669","0.2","0.8111111111111112","0.0","0.0","fast_candidate","1","0","0","0.7762090116739273","0.0","0.16666666666666669","0.7762090116739273","0.16666666666666669","0.2","0.16666666666666669","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-048","False","10","29737","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.16666666666666669","0.2","1.0","0.0","1.0","reason","1","0","0","0.7220162153244019","1.0","0.16666666666666669","1.0","1.0","0.2","1.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-048","False","10","29737","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.16666666666666669","0.0","1.0","0.0","1.0","reason","1","0","0","0.888789102435112","1.0","0.16666666666666669","1.0","1.0","0.0","1.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs2-048","False","10","29737","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.0","0.0","1.0","0.0","1.0","reason","0","0","0","0.6145070195198059","1.0","0.0","1.0","1.0","0.0","1.0","0","0"
